conversion_id,click_id,revenue,quarter_file
8000,150001,1.2525389999999998,2
8001,150015,0.644889,2
8002,150018,1.2518049999999998,2
8003,150020,0.5543859999999999,2
8004,150031,1.019945,2
8005,150033,1.399515,2
8006,150036,0.9159879999999999,2
8007,150043,0.674833,2
8008,150060,0.51617,2
8009,150092,1.392201,2
8010,150111,1.130221,2
8011,150113,0.574246,2
8012,150128,1.46633,2
8013,150143,1.184914,2
8014,150153,0.873769,2
8015,150164,0.697256,2
8016,150204,0.40825100000000003,2
8017,150217,0.5302140000000001,2
8018,150224,1.380333,2
8019,150265,1.269487,2
8020,150279,0.9581620000000001,2
8021,150291,0.945509,2
8022,150314,1.250982,2
8023,150322,0.31251799999999996,2
8024,150324,0.670212,2
8025,150339,0.5754560000000001,2
8026,150349,1.194869,2
8027,150365,1.323484,2
8028,150375,0.566217,2
8029,150384,0.6469020000000001,2
8030,150409,1.1981870000000001,2
8031,150450,0.992726,2
8032,150456,1.496505,2
8033,150471,0.878008,2
8034,150473,0.528775,2
8035,150477,0.43446,2
8036,150490,0.584534,2
8037,150494,1.386042,2
8038,150498,1.303892,2
8039,150502,0.6548229999999999,2
8040,150503,1.1510639999999999,2
8041,150508,0.47859700000000005,2
8042,150510,1.108368,2
8043,150522,1.424321,2
8044,150532,0.316994,2
8045,150534,1.355423,2
8046,150554,1.297259,2
8047,150565,1.041183,2
8048,150576,0.902017,2
8049,150585,0.469666,2
8050,150590,0.8537100000000001,2
8051,150609,1.320566,2
8052,150614,1.424762,2
8053,150637,1.416259,2
8054,150670,0.6460140000000001,2
8055,150683,1.354653,2
8056,150723,1.3220020000000001,2
8057,150735,1.36818,2
8058,150739,0.33920900000000004,2
8059,150747,1.122893,2
8060,150771,0.49222200000000005,2
8061,150864,1.162898,2
8062,150879,1.173024,2
8063,150890,0.31790300000000005,2
8064,150899,0.9067280000000001,2
8065,150910,0.988728,2
8066,150913,1.155175,2
8067,150919,0.934955,2
8068,150928,0.5102909999999999,2
8069,150935,0.6496689999999999,2
8070,150942,0.8757299999999999,2
8071,150954,0.463408,2
8072,150981,0.41918599999999995,2
8073,150982,1.0785420000000001,2
8074,150985,0.548967,2
8075,150991,1.175192,2
8076,150992,1.25521,2
8077,150998,0.315207,2
8078,151024,0.36842199999999997,2
8079,151042,1.096741,2
8080,151052,1.471845,2
8081,151058,0.756497,2
8082,151071,1.489958,2
8083,151082,1.334997,2
8084,151086,1.451351,2
8085,151087,0.307207,2
8086,151095,1.090898,2
8087,151098,1.114963,2
8088,151109,0.779216,2
8089,151144,1.063466,2
8090,151154,0.41019799999999995,2
8091,151165,1.4989620000000001,2
8092,151176,0.9875950000000001,2
8093,151177,0.849727,2
8094,151179,0.357973,2
8095,151182,0.729171,2
8096,151195,1.2048290000000001,2
8097,151198,1.0464069999999999,2
8098,151203,0.692762,2
8099,151253,0.575966,2
8100,151278,0.904175,2
8101,151285,0.770323,2
8102,151291,1.387031,2
8103,151311,0.994819,2
8104,151314,1.480006,2
8105,151324,0.419494,2
8106,151328,0.564697,2
8107,151329,0.937459,2
8108,151336,0.659148,2
8109,151347,0.9562229999999999,2
8110,151377,0.649812,2
8111,151382,0.376655,2
8112,151383,1.317636,2
8113,151408,0.353919,2
8114,151428,1.2399879999999999,2
8115,151434,0.846841,2
8116,151465,1.400017,2
8117,151486,1.117589,2
8118,151510,0.333179,2
8119,151519,0.7084050000000001,2
8120,151538,0.984115,2
8121,151543,1.01051,2
8122,151544,0.432932,2
8123,151549,0.728892,2
8124,151589,0.9469709999999999,2
8125,151593,1.0195290000000001,2
8126,151594,0.350393,2
8127,151605,0.340969,2
8128,151642,0.661305,2
8129,151648,0.467579,2
8130,151680,1.053034,2
8131,151683,0.937156,2
8132,151687,1.249994,2
8133,151691,0.379404,2
8134,151695,0.669547,2
8135,151703,1.487373,2
8136,151707,0.8952959999999999,2
8137,151712,1.006025,2
8138,151735,1.4465139999999999,2
8139,151737,0.8881549999999999,2
8140,151754,0.658764,2
8141,151757,1.1861059999999999,2
8142,151777,1.1156700000000002,2
8143,151781,0.310899,2
8144,151791,0.68216,2
8145,151846,0.6441439999999999,2
8146,151847,0.665669,2
8147,151852,1.385829,2
8148,151863,1.1643569999999999,2
8149,151866,0.44484300000000004,2
8150,151868,0.652255,2
8151,151875,1.1085909999999999,2
8152,151880,0.965282,2
8153,151901,0.970716,2
8154,151956,1.3979840000000001,2
8155,151974,1.266918,2
8156,151978,1.157606,2
8157,151994,1.496025,2
8158,151996,0.786576,2
8159,152041,0.343195,2
8160,152069,0.8223209999999999,2
8161,152081,1.3242969999999998,2
8162,152084,0.6983520000000001,2
8163,152089,0.764224,2
8164,152097,0.72793,2
8165,152144,0.750951,2
8166,152161,1.2420950000000002,2
8167,152175,1.017568,2
8168,152178,1.2929700000000002,2
8169,152194,0.5088199999999999,2
8170,152211,1.28134,2
8171,152219,1.062137,2
8172,152222,1.325291,2
8173,152239,1.180137,2
8174,152243,1.286265,2
8175,152249,1.053714,2
8176,152257,1.227883,2
8177,152275,0.402535,2
8178,152278,0.940077,2
8179,152289,0.30737,2
8180,152325,0.61742,2
8181,152354,1.091928,2
8182,152356,1.435138,2
8183,152364,1.410708,2
8184,152369,1.219745,2
8185,152373,0.889389,2
8186,152381,1.442907,2
8187,152385,1.128132,2
8188,152386,0.9787620000000001,2
8189,152389,1.119877,2
8190,152428,0.6886800000000001,2
8191,152440,1.378221,2
8192,152445,0.43703500000000006,2
8193,152448,0.856991,2
8194,152458,0.594909,2
8195,152481,0.31135999999999997,2
8196,152494,1.280341,2
8197,152504,0.9975639999999999,2
8198,152520,0.330277,2
8199,152526,1.055372,2
8200,152530,1.396759,2
8201,152537,1.0992959999999998,2
8202,152561,0.793165,2
8203,152571,1.448123,2
8204,152581,0.429809,2
8205,152588,0.440723,2
8206,152589,0.467393,2
